Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
2,"R4,R3",R_0402_1005Metric,2,27Ω,
3,"C14,C13,C9,C12",C_0402_1005Metric,4,1µF,
4,"C1,C5,C4,C2,C6,C7,C8,C3,C10,C11",C_0402_1005Metric,10,0.1µF,
5,J4,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
6,"R1,R2",R_0402_1005Metric,2,5.1kΩ,
7,"R7,R5",R_0402_1005Metric,2,1kΩ,
8,U2,SOT-23,1,MCP1700x-330xxTT,
9,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVZPIQ TR,
10,R6,R_0402_1005Metric,1,10kΩ,
11,"J2,J3",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
12,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
13,"C16,C15",C_0402_1005Metric,2,33pF,
14,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
15,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,